datasetSize;arrayType;sortType;operations
800;Random(0-4000);bubbleSortAiverson1;3666026
800;AlmostSorted;bubbleSortAiverson1;2577797
800;ReversedSorted;bubbleSortAiverson1;4476802
900;Random(0-5);bubbleSortAiverson1;4384606
900;Random(0-4000);bubbleSortAiverson1;4638952
900;AlmostSorted;bubbleSortAiverson1;3677187
900;ReversedSorted;bubbleSortAiverson1;5666402
1000;Random(0-5);bubbleSortAiverson1;5417571
1000;Random(0-4000);bubbleSortAiverson1;5736881
1000;AlmostSorted;bubbleSortAiverson1;4453267
1000;ReversedSorted;bubbleSortAiverson1;6996002
1100;Random(0-5);bubbleSortAiverson1;6525552
1100;Random(0-4000);bubbleSortAiverson1;6929789
1100;AlmostSorted;bubbleSortAiverson1;5227872
1100;ReversedSorted;bubbleSortAiverson1;8465602
1200;Random(0-5);bubbleSortAiverson1;7785636
1200;Random(0-4000);bubbleSortAiverson1;8262202
1200;AlmostSorted;bubbleSortAiverson1;6003522
1200;ReversedSorted;bubbleSortAiverson1;10075202
1300;Random(0-5);bubbleSortAiverson1;9161456
1300;Random(0-4000);bubbleSortAiverson1;9691992
1300;AlmostSorted;bubbleSortAiverson1;6779717
1300;ReversedSorted;bubbleSortAiverson1;11824802
1400;Random(0-5);bubbleSortAiverson1;10663469
1400;Random(0-4000);bubbleSortAiverson1;11271917
1400;AlmostSorted;bubbleSortAiverson1;7557377
1400;ReversedSorted;bubbleSortAiverson1;13714402
1500;Random(0-5);bubbleSortAiverson1;12218274
1500;Random(0-4000);bubbleSortAiverson1;12934409
1500;AlmostSorted;bubbleSortAiverson1;8334712
1500;ReversedSorted;bubbleSortAiverson1;15744002
1600;Random(0-5);bubbleSortAiverson1;13897149
1600;Random(0-4000);bubbleSortAiverson1;14723361
1600;AlmostSorted;bubbleSortAiverson1;9116322
1600;ReversedSorted;bubbleSortAiverson1;17913602
1700;Random(0-5);bubbleSortAiverson1;15641104
1700;Random(0-4000);bubbleSortAiverson1;16552577
